page_number,item_name,price_name,description
1,Short Dress,$24.99,"Short dress in woven fabric. Round neckline and opening at back of neck with a button. Yoke at back with concealed pleats, long sleeves, and narrow cuffs with ties. Side pockets. 100% polyester. Machine wash cold."
1,Patterned Slacks,$29.99,"Ankle-length slacks in patterned stretch cotton satin. Regular waist with concealed hook-and-eye fastener and zip fly. Side pockets and tapered legs with slits at hems. 61% cotton, 36% polyester, 3% spandex. Machine wash..."
1,Short Chiffon Dress,$49.99,"Short V-neck dress in plumeti chiffon. Gathers and small ruffle at shoulders, dropped shoulders, and long, wide sleeves with buttons at cuffs. Narrow, elasticized seam at waist and circle skirt with ruffled tiers. Lined. 100% polyester. Machine wash warm."
1,Off-the-shoulder Dress,$59.99,"Short, fitted off-the-shoulder dress in stretch ribbed fabric. Short raglan sleeves, seam at waist with gently flared skirt. Unlined. 54% rayon, 44% nylon, 2% spandex. Machine wash warm."
1,V-neck Top,$24.99,Top in woven fabric with V-neck front and back. Narrow shoulder straps and decorative straps at back. 100% polyester. Machine wash cold.
1,Short Chiffon Dress,$49.99,"Short V-neck dress in plumeti chiffon. Gathers and small ruffle at shoulders, dropped shoulders, and long, wide sleeves with buttons at cuffs. Narrow, elasticized seam at waist and circle skirt with ruffled tiers. Lined. 100% polyester. Machine wash warm."
1,V-neck Top,$24.99,Top in woven fabric with V-neck front and back. Narrow shoulder straps and decorative straps at back. 100% polyester. Machine wash cold.
1,V-neck Top,$24.99,Top in woven fabric with V-neck front and back. Narrow shoulder straps and decorative straps at back. 100% polyester. Machine wash cold.
1,Short Lace Dress,$59.99,"Short, straight-cut dress in lace. Opening at back with concealed button at back of neck. Round neck, padded shoulders, and 3/4-length sleeves. Lined. 51% cotton, 25% nylon, 24% rayon. Machine wash cold."
1,Fitted Dress,$34.99,"Fitted dress in thick jersey with a V-neck, long sleeves, and cut-out section at back with button at back of neck. Lined at top. 60% rayon, 35% nylon, 5% spandex. Machine wash warm."
2,V-neck Jumpsuit,$69.99,"Jumpsuit in woven fabric with a V-neck and short butterfly sleeves. Concealed zip at back, seam at waist, and slightly slimmer, gently flared legs with creases. 92% polyester, 8% spandex. Machine wash warm."
2,Chiffon Dress,$54.99,"Short dress in crinkled chiffon with a V-neck front and back. Horizontal ties at back of neck, pleats at top, and concealed side zip. Long, semi-sheer sleeves, gathered seam at waist, and flared skirt. Lined. 100% polyester. Machine wash cold."
2,Skinny High Waist Jeans,$39.99,"5-pocket jeans in washed stretch denim with distressed details. High waist, zip fly with button, and skinny legs. 99% cotton, 1% spandex."
2,Super Skinny High Jeans,$19.99,"Jeans in washed superstretch denim with a zip fly and button. Mock pockets at front, regular pockets at back, and super-skinny legs. High waist. 78% cotton, 20% polyester, 2% spandex. Machine wash..."
2,Oversized Denim Jacket,$19.99,"Oversized denim jacket with smooth metal buttons at front and at cuffs. Collar, chest pockets with flap and button, and side-seam pockets. Adjustable tab at back with buttons. 100% cotton. Machine wash cold."
2,Short Sweatshirt,$24.99,"Short sweatshirt with long sleeves and ribbing at neckline, cuffs, and hem. 57% cotton, 43% polyester. Machine wash cold."
2,Long-sleeved Jersey Top,$12.99,"CONSCIOUS. Fitted, long-sleeved top in stretch jersey made from organic cotton with a round neckline. 92% cotton, 3% spandex, 3% rayon, 2% polyester."
2,Skinny High Waist Jeans,$39.99,"5-pocket jeans in washed stretch denim with distressed details. High waist, zip fly with button, and skinny legs. 70% cotton, 28% polyester, 2% spandex. Machine wash..."
2,Short Sweatshirt,$24.99,"Short sweatshirt with long sleeves and ribbing at neckline, cuffs, and hem. 57% cotton, 43% polyester. Machine wash cold."
2,Long-sleeved Jersey Top,$12.99,"CONSCIOUS. Fitted, long-sleeved top in stretch jersey made from organic cotton with a round neckline. 92% cotton, 3% spandex, 3% rayon, 2% polyester."
3,Long-sleeved Jersey Top,$12.99,"CONSCIOUS. Fitted, long-sleeved top in stretch jersey made from organic cotton with a round neckline. 92% cotton, 3% spandex, 3% rayon, 2% polyester."
3,Jersey Dress,$19.99,"Fitted dress in jersey with long, straight sleeves. Unlined. 72% polyester, 23% rayon, 5% spandex. Machine wash..."
3,Short Sweatshirt,$24.99,"Short sweatshirt with long sleeves and ribbing at neckline, cuffs, and hem. 57% cotton, 43% polyester. Machine wash cold."
3,Crinkled Flounced Blouse,$24.99,"Blouse in airy, crinkled fabric with a printed pattern. Small stand-up collar, concealed buttons at front, and flounces at front. Long sleeves with buttons at cuffs. Rounded hem. 100% polyester. Machine wash cold."
3,Bib Overall Dress,$29.99,"Short bib overall dress in twill. Shoulder straps tied together with metal eyelets at top. Chest pocket, front pockets, and back pockets. Unlined. 58% cotton, 42% lyocell. Machine wash cold."
3,Loose-knit Sweater,$17.99,"Soft, loose-knit sweater with a V-neck, long raglan sleeves, and roll edges at cuffs and hem. Longer at back. 100% acrylic. Machine wash warm."
3,Skinny Regular Jeans,$29.99,"5-pocket jeans in washed superstretch denim with heavily distressed details. Regular waist, zip fly, and slim legs. 82% cotton, 17% polyester, 1% spandex."
3,Henley-style Top,$12.99,"Fitted top in soft cotton jersey with a scoop neckline, buttons at front, and long sleeves. 68% cotton, 27% polyester, 5% spandex."
3,Joggers,$17.99,"Joggers in soft sweatshirt fabric with an elasticized drawstring waistband, side pockets, and elasticized hems. Soft, brushed inside. 70% cotton, 30% polyester."
3,Skirt with Lacing,$34.99,"Short skirt in soft twill with eyelets and lacing at front. Concealed zip at back with button. Unlined. 56% cotton, 44% lyocell. Machine wash cold."
4,Top with Tie,$17.99,"Short-sleeved top in soft jersey. Metal eyelets at front, contrasting tie, and contrasting ribbing at neck and cuffs. 100% cotton. Machine wash cold."
4,Joggers,$34.99,"Joggers in woven fabric with a slight rustle. Wide, elasticized drawstring waistband, side pockets, and a back pocket with zip. Wide jersey ribbing at hems. 54% polyester, 43% cotton, 3% spandex. Machine wash..."
4,Chiffon Dress with Flounce,$49.99,"Calf-length dress in crinkled chiffon with a printed pattern. V-neck, sewn wrapover at front, and short sleeves. Flounced seam at waist, concealed zip at one side, and asymmetrical hem. Half lined. 100% polyester. Machine wash cold."
4,Skirt with Lacing,$34.99,"Short skirt in soft twill with eyelets and lacing at front. Concealed zip at back with button. Unlined. 56% cotton, 44% lyocell. Machine wash cold."
4,V-neck Top,$9.99,V-neck top in airy jersey with buttons at top and 3/4-length sleeves. Rounded hem with slits at sides. Slightly longer at back. 100% polyester. Machine wash cold.
4,Hooded Jacket,$29.99,"Sweatshirt jacket with a lined drawstring hood. Zip at front, side pockets, and ribbing at cuffs and hem. 58% cotton, 42% polyester. Machine wash warm."
4,Hooded Top,$29.99,"Wide-cut sweatshirt with a jersey-lined drawstring hood. Dropped shoulders, kangaroo pocket, and ribbing at cuffs and hem. 70% cotton, 25% polyester, 5% rayon. Machine wash warm."
4,Lyocell-blend Blouse,$34.99,"Straight-cut blouse in woven fabric with Tencel® lyocell content. Opening at back of neck with button and wide sleeves with drawstring. 66% rayon, 19% polyester, 15% lyocell. Machine wash..."
4,Bib Overall Dress,$29.99,"Short bib overall dress in twill. Shoulder straps tied together with metal eyelets at top. Chest pocket, front pockets, and back pockets. Unlined. 58% cotton, 42% lyocell. Machine wash cold."
4,Wide-leg Pants,$34.99,"Pants in crêped, woven fabric with contrasting side stripes. Zip fly with concealed hook-and-eye fastener. Side pockets, back pockets, and straight legs with sewn cuffs. 100% polyester. Machine wash warm."
5,Ankle-length Slim-fit Pants,$24.99,"5-pocket, ankle-length pants in stretch twill. Regular waist, zip fly with button, and slim, straight legs. 74% cotton, 25% polyester, 1% spandex. Machine wash..."
5,Short Sweatshirt,$9.99,"Short sweatshirt with long sleeves and ribbing at neckline, cuffs, and hem. 83% cotton, 15% polyester, 2% rayon."
5,V-neck Blouse,$17.99,V-neck blouse in woven viscose fabric with buttons at top and 3/4-length sleeves. Rounded hem with short slits at sides. Slightly longer at back. 100% rayon. Machine wash cold.
5,Short Skirt,$24.99,"Short skirt in a woven modal blend with contrasting grosgrain trim. Concealed side zip and an attached belt at front with D-rings. Unlined. 72% modal, 28% polyester. Machine wash cold."
5,Mesh T-shirt,$17.99,"Long T-shirt in mesh with a V-neck. Yoke, dropped shoulders, and sleeves with ´contrasting grosgrain trim. 100% polyester. Machine wash warm."
5,Blouse with Embroidery,$59.99,"Wide-cut blouse in woven cotton fabric with embroidery. Rounded neckline, partially concealed buttons at front, and long, wide balloon sleeves with embroidery and cuffs. 100% cotton. Machine wash cold."
5,Wide-cut Cotton Top,$34.99,"Straight-cut top in thicker cotton jersey with decorative seams and stitching. Rounded shoulders and short sleeves. 96% cotton, 4% spandex. Machine wash warm."
5,Pleated Skirt,$54.99,"Calf-length skirt in pleated, crêped fabric with an elasticized waistband. Lined. 100% polyester. Machine wash cold."
